Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4,Diamond Shape (product.metafields.custom.diamond_shape),Diamond Colour (product.metafields.custom.diamond_colour),Diamond Clarity (product.metafields.custom.diamond_clarity),Setting Style (product.metafields.custom.setting_style),Made In (product.metafields.custom.made_in),,
Aurora Emerald & Pear Diamond Stud Earrings,aurora-emerald-pear-diamond-stud-earrings,"The iconic Toi et Moi design, pairing a striking emerald-cut diamond with a brilliant pear-cut diamond in perfect harmony. Handcrafted in Australia using ethically sourced diamonds.",Arlena,Apparel & Accessories > Jewelry > Earrings,Earrings,"Toi et Moi, Earrings, Diamonds, New Arrival",TRUE,active,AUR-STUD-9KYel-LAB-050ct,,Metal,9K Yellow Gold,,Diamond,Lab Grown,,Carat Weight,0.50ct,,2490,2863.5,996,TRUE,,,,,,shopify,100,DENY,100,g,TRUE,manual,,,Aurora Emerald & Pear Diamond Stud Earrings,,FALSE,Aurora Emerald & Pear Diamond Stud Earrings | Arlena,Shop our Toi et Moi Aurora emerald and pear diamond stud earrings. Handcrafted to order in Australia.,,,,,,,,,,,New,FALSE,,,,,Emerald & Pear,D - F,VS1 - VS2,Four-Prong,Australia
,aurora-emerald-pear-diamond-stud-earrings,,,,,,,,AUR-STUD-9KYel-LAB-100ct,,Metal,9K Yellow Gold,,Diamond,Lab Grown,,Carat Weight,1.00ct,,3690,4243.5,1476,TRUE,,,,,,shopify,100,DENY,100,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aurora-emerald-pear-diamond-stud-earrings,,,,,,,,AUR-STUD-9KYel-LAB-200ct,,Metal,9K Yellow Gold,,Diamond,Lab Grown,,Carat Weight,2.00ct,,5990,6888.5,2396,TRUE,,,,,,shopify,100,DENY,100,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aurora-emerald-pear-diamond-stud-earrings,,,,,,,,AUR-STUD-9KYel-NAT-050ct,,Metal,9K Yellow Gold,,Diamond,Natural,,Carat Weight,0.50ct,,4290,4933.5,1716,TRUE,,,,,,shopify,100,DENY,100,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aurora-emerald-pear-diamond-stud-earrings,,,,,,,,AUR-STUD-9KYel-NAT-100ct,,Metal,9K Yellow Gold,,Diamond,Natural,,Carat Weight,1.00ct,,7090,8153.5,2836,TRUE,,,,,,shopify,100,DENY,100,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aurora-emerald-pear-diamond-stud-earrings,,,,,,,,AUR-STUD-9KYel-NAT-200ct,,Metal,9K Yellow Gold,,Diamond,Natural,,Carat Weight,2.00ct,,13790,15858.5,5516,TRUE,,,,,,shopify,100,DENY,100,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aurora-emerald-pear-diamond-stud-earrings,,,,,,,,AUR-STUD-9KWhi-LAB-050ct,,Metal,9K White Gold,,Diamond,Lab Grown,,Carat Weight,0.50ct,,2490,2863.5,996,TRUE,,,,,,shopify,100,DENY,100,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aurora-emerald-pear-diamond-stud-earrings,,,,,,,,AUR-STUD-9KWhi-LAB-100ct,,Metal,9K White Gold,,Diamond,Lab Grown,,Carat Weight,1.00ct,,3690,4243.5,1476,TRUE,,,,,,shopify,100,DENY,100,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aurora-emerald-pear-diamond-stud-earrings,,,,,,,,AUR-STUD-9KWhi-LAB-200ct,,Metal,9K White Gold,,Diamond,Lab Grown,,Carat Weight,2.00ct,,5990,6888.5,2396,TRUE,,,,,,shopify,100,DENY,100,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aurora-emerald-pear-diamond-stud-earrings,,,,,,,,AUR-STUD-9KWhi-NAT-050ct,,Metal,9K White Gold,,Diamond,Natural,,Carat Weight,0.50ct,,4290,4933.5,1716,TRUE,,,,,,shopify,100,DENY,100,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aurora-emerald-pear-diamond-stud-earrings,,,,,,,,AUR-STUD-9KWhi-NAT-100ct,,Metal,9K White Gold,,Diamond,Natural,,Carat Weight,1.00ct,,7090,8153.5,2836,TRUE,,,,,,shopify,100,DENY,100,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aurora-emerald-pear-diamond-stud-earrings,,,,,,,,AUR-STUD-9KWhi-NAT-200ct,,Metal,9K White Gold,,Diamond,Natural,,Carat Weight,2.00ct,,13790,15858.5,5516,TRUE,,,,,,shopify,100,DENY,100,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aurora-emerald-pear-diamond-stud-earrings,,,,,,,,AUR-STUD-14KWh-LAB-050ct,,Metal,14K White Gold,,Diamond,Lab Grown,,Carat Weight,0.50ct,,2790,3208.5,1116,TRUE,,,,,,shopify,100,DENY,100,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aurora-emerald-pear-diamond-stud-earrings,,,,,,,,AUR-STUD-14KWh-LAB-100ct,,Metal,14K White Gold,,Diamond,Lab Grown,,Carat Weight,1.00ct,,3990,4588.5,1596,TRUE,,,,,,shopify,100,DENY,100,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aurora-emerald-pear-diamond-stud-earrings,,,,,,,,AUR-STUD-14KWh-LAB-200ct,,Metal,14K White Gold,,Diamond,Lab Grown,,Carat Weight,2.00ct,,6290,7233.5,2516,TRUE,,,,,,shopify,100,DENY,100,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aurora-emerald-pear-diamond-stud-earrings,,,,,,,,AUR-STUD-14KWh-NAT-050ct,,Metal,14K White Gold,,Diamond,Natural,,Carat Weight,0.50ct,,4590,5278.5,1836,TRUE,,,,,,shopify,100,DENY,100,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aurora-emerald-pear-diamond-stud-earrings,,,,,,,,AUR-STUD-14KWh-NAT-100ct,,Metal,14K White Gold,,Diamond,Natural,,Carat Weight,1.00ct,,7390,8498.5,2956,TRUE,,,,,,shopify,100,DENY,100,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aurora-emerald-pear-diamond-stud-earrings,,,,,,,,AUR-STUD-14KWh-NAT-200ct,,Metal,14K White Gold,,Diamond,Natural,,Carat Weight,2.00ct,,14090,16203.5,5636,TRUE,,,,,,shopify,100,DENY,100,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aurora-emerald-pear-diamond-stud-earrings,,,,,,,,AUR-STUD-18KYe-LAB-050ct,,Metal,18K Yellow Gold,,Diamond,Lab Grown,,Carat Weight,0.50ct,,3090,3553.5,1236,TRUE,,,,,,shopify,100,DENY,100,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aurora-emerald-pear-diamond-stud-earrings,,,,,,,,AUR-STUD-18KYe-LAB-100ct,,Metal,18K Yellow Gold,,Diamond,Lab Grown,,Carat Weight,1.00ct,,4290,4933.5,1716,TRUE,,,,,,shopify,100,DENY,100,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aurora-emerald-pear-diamond-stud-earrings,,,,,,,,AUR-STUD-18KYe-LAB-200ct,,Metal,18K Yellow Gold,,Diamond,Lab Grown,,Carat Weight,2.00ct,,6590,7578.5,2636,TRUE,,,,,,shopify,100,DENY,100,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aurora-emerald-pear-diamond-stud-earrings,,,,,,,,AUR-STUD-18KYe-NAT-050ct,,Metal,18K Yellow Gold,,Diamond,Natural,,Carat Weight,0.50ct,,4890,5623.5,1956,TRUE,,,,,,shopify,100,DENY,100,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aurora-emerald-pear-diamond-stud-earrings,,,,,,,,AUR-STUD-18KYe-NAT-100ct,,Metal,18K Yellow Gold,,Diamond,Natural,,Carat Weight,1.00ct,,7690,8843.5,3076,TRUE,,,,,,shopify,100,DENY,100,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aurora-emerald-pear-diamond-stud-earrings,,,,,,,,AUR-STUD-18KYe-NAT-200ct,,Metal,18K Yellow Gold,,Diamond,Natural,,Carat Weight,2.00ct,,14390,16548.5,5756,TRUE,,,,,,shopify,100,DENY,100,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aurora-emerald-pear-diamond-stud-earrings,,,,,,,,AUR-STUD-Plati-LAB-050ct,,Metal,Platinum,,Diamond,Lab Grown,,Carat Weight,0.50ct,,3390,3898.5,1356,TRUE,,,,,,shopify,100,DENY,100,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aurora-emerald-pear-diamond-stud-earrings,,,,,,,,AUR-STUD-Plati-LAB-100ct,,Metal,Platinum,,Diamond,Lab Grown,,Carat Weight,1.00ct,,4590,5278.5,1836,TRUE,,,,,,shopify,100,DENY,100,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aurora-emerald-pear-diamond-stud-earrings,,,,,,,,AUR-STUD-Plati-LAB-200ct,,Metal,Platinum,,Diamond,Lab Grown,,Carat Weight,2.00ct,,6890,7923.5,2756,TRUE,,,,,,shopify,100,DENY,100,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aurora-emerald-pear-diamond-stud-earrings,,,,,,,,AUR-STUD-Plati-NAT-050ct,,Metal,Platinum,,Diamond,Natural,,Carat Weight,0.50ct,,5190,5968.5,2076,TRUE,,,,,,shopify,100,DENY,100,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aurora-emerald-pear-diamond-stud-earrings,,,,,,,,AUR-STUD-Plati-NAT-100ct,,Metal,Platinum,,Diamond,Natural,,Carat Weight,1.00ct,,7990,9188.5,3196,TRUE,,,,,,shopify,100,DENY,100,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aurora-emerald-pear-diamond-stud-earrings,,,,,,,,AUR-STUD-Plati-NAT-200ct,,Metal,Platinum,,Diamond,Natural,,Carat Weight,2.00ct,,14690,16893.5,5876,TRUE,,,,,,shopify,100,DENY,100,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
